Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	set
Regulation Of Amyloid-Beta Formation (GO:1902003)	2/33	0.702321551159547	0.868997795982297	0	0	0.823893214682981	0.291134144030139	SLC2A13;IGF1	cl0_only
Signal Transduction By P53 Class Mediator (GO:0072331)	2/33	0.702321551159547	0.868997795982297	0	0	0.823893214682981	0.291134144030139	STK11;E2F7	cl0_only
Fatty Acid Biosynthetic Process (GO:0006633)	4/65	0.703850458411656	0.870312607237731	0	0	0.837197717598044	0.294014932659961	FADS3;ACOT7;ELOVL3;FADS1	cl0_only
Regulation Of Translational Initiation (GO:0006446)	4/65	0.703850458411656	0.870312607237731	0	0	0.837197717598044	0.294014932659961	IMPACT;NPM1;DDX3X;NCK2	cl0_only
Negative Regulation Of NF-kappaB Transcription Factor Activity (GO:0032088)	5/81	0.709037861934777	0.873091216815557	0	0	0.839850143672935	0.288779408122921	TRAF3;TLR9;DAB2IP;CCDC22;MAP2K5	cl0_only
Regulation Of Anatomical Structure Morphogenesis (GO:0022603)	8/127	0.711371878976044	0.873091216815557	0	0	0.857980865476385	0.29219392011591	ARHGAP44;FMNL2;GDNF;FLT4;NF1;NEDD4L;EMP2;PAK3	cl0_only
G Protein-Coupled Receptor Signaling Pathway, Coupled To Cyclic Nucleotide Second Messenger (GO:0007187)	3/50	0.713585737724732	0.873091216815557	0	0	0.814986123959297	0.275019255187831	MTNR1A;NPY1R;CCL2	cl0_only
Blood Circulation (GO:0008015)	3/50	0.713585737724732	0.873091216815557	0	0	0.814986123959297	0.275019255187831	GUCY1B1;MYOF;BDKRB2	cl0_only
Nucleocytoplasmic Transport (GO:0006913)	3/50	0.713585737724732	0.873091216815557	0	0	0.814986123959297	0.275019255187831	NPM1;NUP153;RANGAP1	cl0_only
Positive Regulation Of Fat Cell Differentiation (GO:0045600)	3/50	0.713585737724732	0.873091216815557	0	0	0.814986123959297	0.275019255187831	CEBPB;FRZB;MEDAG	cl0_only
Cellular Response To BMP Stimulus (GO:0071773)	4/66	0.715203041283855	0.873091216815557	0	0	0.823649973266797	0.27607824844701	SMURF1;SMAD9;SMAD6;RUNX2	cl0_only
Negative Regulation Of Endopeptidase Activity (GO:0010951)	4/66	0.715203041283855	0.873091216815557	0	0	0.823649973266797	0.27607824844701	PCID2;TIMP1;MT3;RECK	cl0_only
ATP Metabolic Process (GO:0046034)	2/34	0.717924353713961	0.873091216815557	0	0	0.798103448275862	0.264484357633173	HSPA8;PRKAG2	cl0_only
Histone Deubiquitination (GO:0016578)	2/34	0.717924353713961	0.873091216815557	0	0	0.798103448275862	0.264484357633173	KAT2B;TAF5	cl0_only
Inner Mitochondrial Membrane Organization (GO:0007007)	2/34	0.717924353713961	0.873091216815557	0	0	0.798103448275862	0.264484357633173	MTX1;SLC25A46	cl0_only
Membrane Protein Proteolysis (GO:0033619)	2/34	0.717924353713961	0.873091216815557	0	0	0.798103448275862	0.264484357633173	ADAM19;BACE1	cl0_only
Negative Regulation Of Cell Cycle Process (GO:0010948)	2/34	0.717924353713961	0.873091216815557	0	0	0.798103448275862	0.264484357633173	DAB2IP;E2F7	cl0_only
Positive Regulation Of Immunoglobulin Production (GO:0002639)	2/34	0.717924353713961	0.873091216815557	0	0	0.798103448275862	0.264484357633173	TNFSF4;TLR9	cl0_only
Positive Regulation Of Transcription By RNA Polymerase I (GO:0045943)	2/34	0.717924353713961	0.873091216815557	0	0	0.798103448275862	0.264484357633173	UBTF;ATF4	cl0_only
Regulation Of Interleukin-17 Production (GO:0032660)	2/34	0.717924353713961	0.873091216815557	0	0	0.798103448275862	0.264484357633173	SPHK1;TNFSF4	cl0_only
Sister Chromatid Segregation (GO:0000819)	2/34	0.717924353713961	0.873091216815557	0	0	0.798103448275862	0.264484357633173	TOP2B;DSN1	cl0_only
Transcription Initiation-Coupled Chromatin Remodeling (GO:0045815)	2/34	0.717924353713961	0.873091216815557	0	0	0.798103448275862	0.264484357633173	KAT2B;SPHK2	cl0_only
Regulation Of Phosphorylation (GO:0042325)	5/82	0.719175729373751	0.873091216815557	0	0	0.828898123300335	0.273245887617111	SOCS1;MCM7;EMP2;IGF1;EGFR	cl0_only
Sodium Ion Transmembrane Transport (GO:0035725)	5/82	0.719175729373751	0.873091216815557	0	0	0.828898123300335	0.273245887617111	ASIC5;SLC9A9;PKD2;SLC4A4;SCN1B	cl0_only
G Protein-Coupled Acetylcholine Receptor Signaling Pathway (GO:0007213)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	GNB1	cl0_only
NAD Biosynthetic Process (GO:0009435)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	NMNAT3	cl0_only
NLS-bearing Protein Import Into Nucleus (GO:0006607)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	KPNA1	cl0_only
Rac Protein Signal Transduction (GO:0016601)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	TIAM1	cl0_only
T Cell Migration (GO:0072678)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	PIK3CD	cl0_only
cGMP-mediated Signaling (GO:0019934)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	GUCY1B1	cl0_only
Carboxylic Acid Biosynthetic Process (GO:0046394)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	FADS1	cl0_only
Cell Migration Involved In Sprouting Angiogenesis (GO:0002042)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	VEGFA	cl0_only
Cellular Response To dsRNA (GO:0071359)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	NPM1	cl0_only
Central Nervous System Neuron Development (GO:0021954)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	PTEN	cl0_only
Embryo Development Ending In Birth Or Egg Hatching (GO:0009792)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	RICTOR	cl0_only
Facultative Heterochromatin Formation (GO:0140718)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	BEND3	cl0_only
Megakaryocyte Differentiation (GO:0030219)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	MAF	cl0_only
Mesenchyme Development (GO:0060485)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	PKD2	cl0_only
Microtubule Depolymerization (GO:0007019)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	STMN1	cl0_only
Muscle Tissue Morphogenesis (GO:0060415)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	EFEMP2	cl0_only
Negative Regulation Of Calcium Ion Transport (GO:0051926)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	PACSIN3	cl0_only
Negative Regulation Of Leukocyte Activation (GO:0002695)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	NR1H3	cl0_only
Negative Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902176)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	HIF1A	cl0_only
Negative Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051444)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	USP44	cl0_only
Nuclear Envelope Organization (GO:0006998)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	LEMD2	cl0_only
Peroxisomal Membrane Transport (GO:0015919)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	PEX14	cl0_only
Positive Regulation Of Alpha-Beta T Cell Proliferation (GO:0046641)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	TNFSF4	cl0_only
Positive Regulation Of Amyloid-Beta Formation (GO:1902004)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	SLC2A13	cl0_only
Positive Regulation Of Cell Adhesion Mediated By Integrin (GO:0033630)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	FOXC2	cl0_only
Positive Regulation Of Cell Cycle Phase Transition (GO:1901989)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	NPM1	cl0_only
Positive Regulation Of Heart Rate (GO:0010460)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	ADRA1D	cl0_only
Positive Regulation Of Leukocyte Proliferation (GO:0070665)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	NMBR	cl0_only
Positive Regulation Of Nitric-Oxide Synthase Activity (GO:0051000)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	HIF1A	cl0_only
Positive Regulation Of Peptidyl-Lysine Acetylation (GO:2000758)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	DIP2A	cl0_only
Positive Regulation Of Regulatory T Cell Differentiation (GO:0045591)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	SOCS1	cl0_only
Postsynaptic Membrane Organization (GO:0001941)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	LRP4	cl0_only
Prostaglandin Biosynthetic Process (GO:0001516)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	PTGES2	cl0_only
Protein Localization To Centrosome (GO:0071539)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	CSNK1D	cl0_only
Regulation Of DNA-templated DNA Replication (GO:0090329)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	MCM7	cl0_only
Regulation Of Delayed Rectifier Potassium Channel Activity (GO:1902259)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	RNF207	cl0_only
Regulation Of Hematopoietic Progenitor Cell Differentiation (GO:1901532)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	FOXC1	cl0_only
Regulation Of Leukocyte Chemotaxis (GO:0002688)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	CAMK1D	cl0_only
Regulation Of Oxidative Phosphorylation (GO:0002082)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	NUPR1	cl0_only
Regulation Of Receptor Recycling (GO:0001919)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	LDLR	cl0_only
Regulation Of Receptor Signaling Pathway Via STAT (GO:1904892)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	CRLF2	cl0_only
Regulation Of Single Stranded Viral RNA Replication Via Double Stranded DNA Intermediate (GO:0045091)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	TOP2B	cl0_only
Regulation Of Telomerase RNA Localization To Cajal Body (GO:1904872)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	SHQ1	cl0_only
Regulation Of Tubulin Deacetylation (GO:0090043)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	KAT2B	cl0_only
Regulation Of Vacuole Organization (GO:0044088)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	SCARB2	cl0_only
Regulation Of Viral Transcription (GO:0046782)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	HEXIM1	cl0_only
Response To Acidic pH (GO:0010447)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	RAB11B	cl0_only
Transcription By RNA Polymerase I (GO:0006360)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	UBTF	cl0_only
Transepithelial Transport (GO:0070633)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	ABCC1	cl0_only
Ventricular Cardiac Muscle Cell Action Potential (GO:0086005)	1/17	0.722469533550296	0.873091216815557	0	0	0.798242591316334	0.25949272392084	NEDD4L	cl0_only
RNA Splicing (GO:0008380)	6/98	0.724197173122361	0.87461276197534	0	0	0.832401226772506	0.268608871312264	IVNS1ABP;PDCD7;TRA2B;USP39;SRPK1;PPP1R9B	cl0_only
Positive Regulation Of Cold-Induced Thermogenesis (GO:0120162)	6/98	0.724197173122361	0.87461276197534	0	0	0.832401226772506	0.268608871312264	CEBPB;APC;ACSL1;ELOVL3;GNAS;VEGFA	cl0_only
Response To Lipopolysaccharide (GO:0032496)	10/159	0.725779131675692	0.87530730116869	0	0	0.856333019948059	0.274462899557753	SBNO2;CASP7;TRIM41;TNFSF4;DAB2IP;SIRPA;CCL2;NR1H3;SMAD6;TNFRSF1B	cl0_only
Protein Localization (GO:0008104)	23/351	0.726111146239848	0.87530730116869	0	0	0.894067145709946	0.286148140732362	ARF3;ARF4;NPM1;RIC1;ANGPT1;IST1;SMURF1;STXBP1;LRBA;VPS33A;SNX13;EMP2;WIPI2;WDR45;SEPTIN9;EGFR;STX11;PEX14;IFT22;CTTN;NPHP1;EIF2D;FGF10	cl0_only
Amide Biosynthetic Process (GO:0043604)	3/51	0.726179135204777	0.87530730116869	0	0	0.797964113181505	0.255315442111358	SMPD2;SAMD8;SGMS1	cl0_only
Negative Regulation Of Gene Expression, Epigenetic (GO:0045814)	3/51	0.726179135204777	0.87530730116869	0	0	0.797964113181505	0.255315442111358	SUV39H2;DNMT1;BAZ2A	cl0_only
Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900024)	3/51	0.726179135204777	0.87530730116869	0	0	0.797964113181505	0.255315442111358	DOCK5;RCC2;FBLN1	cl0_only
Sensory Perception (GO:0007600)	3/51	0.726179135204777	0.87530730116869	0	0	0.797964113181505	0.255315442111358	GNAS;CCL2;RETREG1	cl0_only
Regulation Of Cell Division (GO:0051302)	5/83	0.729059223567905	0.878495184499351	0	0	0.81822692396293	0.258559962286279	SH3GLB1;KAT2B;PLK3;RAB11FIP3;RAB11A	cl0_only
Intracellular Monoatomic Cation Homeostasis (GO:0030003)	12/190	0.732670461659081	0.880081752665446	0	0	0.86001872659176	0.26751678266104	SLC30A7;CCL7;TRPV4;NPTN;ATP13A2;CCDC22;SLC39A12;ERFE;MT3;CNNM4;KCNJ2;TMEM165	cl0_only
Establishment Of Spindle Orientation (GO:0051294)	2/35	0.732832500328835	0.880081752665446	0	0	0.773876698014629	0.240550374610691	GPSM1;MAP4	cl0_only
Hexose Biosynthetic Process (GO:0019319)	2/35	0.732832500328835	0.880081752665446	0	0	0.773876698014629	0.240550374610691	CRY1;ATF4	cl0_only
Neutral Amino Acid Transport (GO:0015804)	2/35	0.732832500328835	0.880081752665446	0	0	0.773876698014629	0.240550374610691	SLC38A1;SLC38A2	cl0_only
One-Carbon Compound Transport (GO:0019755)	2/35	0.732832500328835	0.880081752665446	0	0	0.773876698014629	0.240550374610691	SLC4A3;SLC4A4	cl0_only
Response To Nutrient Levels (GO:0031667)	2/35	0.732832500328835	0.880081752665446	0	0	0.773876698014629	0.240550374610691	PRKAG2;RICTOR	cl0_only
Skeletal Muscle Organ Development (GO:0060538)	2/35	0.732832500328835	0.880081752665446	0	0	0.773876698014629	0.240550374610691	IGSF8;MYL6	cl0_only
Golgi Organization (GO:0007030)	8/130	0.735381411534343	0.880081752665446	0	0	0.836746741746515	0.257187488236219	PLK3;SEC16B;ATP8B2;COG4;TANGO2;CSNK1D;YWHAZ;VTI1B	cl0_only
Skin Development (GO:0043588)	4/68	0.736939806120693	0.880081752665446	0	0	0.797824585635359	0.243535208256727	COL1A1;ABCB6;GATA6;PDGFA	cl0_only
Cellular Response To Ionizing Radiation (GO:0071479)	3/52	0.738334488061434	0.880081752665446	0	0	0.781636878353826	0.237116051210435	NUCKS1;GRB2;ECT2	cl0_only
Positive Regulation Of Transcription Initiation By RNA Polymerase II (GO:0060261)	3/52	0.738334488061434	0.880081752665446	0	0	0.781636878353826	0.237116051210435	TAF4B;TAF5;TAF3	cl0_only
Regulation Of Peptide Hormone Secretion (GO:0090276)	3/52	0.738334488061434	0.880081752665446	0	0	0.781636878353826	0.237116051210435	CRHBP;PASK;SLC25A22	cl0_only
Regulation Of Protein Localization To Nucleus (GO:1900180)	3/52	0.738334488061434	0.880081752665446	0	0	0.781636878353826	0.237116051210435	MFHAS1;ATP13A2;YWHAZ	cl0_only
Positive Regulation Of Hydrolase Activity (GO:0051345)	11/176	0.739303531347446	0.880081752665446	0	0	0.850474207726116	0.256882936231239	RIC1;CCL7;SH3BP1;SGSM2;NF1;SNX13;CCL2;ECT2;PRSS22;RHOC;MAPRE2	cl0_only
Protein Complex Oligomerization (GO:0051259)	6/100	0.741980598085944	0.880081752665446	0	0	0.814602277743445	0.243103537073589	COMP;NACC2;BEND3;LRRC8D;ECT2;PKD2	cl0_only
Adrenergic Receptor Signaling Pathway (GO:0071875)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	ADRA1D	cl0_only
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class I (GO:0002474)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	TAPBP	cl0_only
Endothelial Cell Proliferation (GO:0001935)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	ANGPT4	cl0_only
Glucose 6-Phosphate Metabolic Process (GO:0051156)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	HK2	cl0_only
Mesenchyme Morphogenesis (GO:0072132)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	APC	cl0_only
Myoblast Fusion (GO:0007520)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	DOCK5	cl0_only
Negative Regulation Of DNA-templated Transcription, Elongation (GO:0032785)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	HEXIM1	cl0_only
Negative Regulation Of Amyloid Precursor Protein Catabolic Process (GO:1902992)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	IGF1	cl0_only
Negative Regulation Of Lipid Catabolic Process (GO:0050995)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	MFSD2A	cl0_only
Negative Regulation Of Lipid Storage (GO:0010888)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	NR1H3	cl0_only
Negative Regulation Of Monoatomic Ion Transport (GO:0043271)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	PACSIN3	cl0_only
Negative Regulation Of Peptide Hormone Secretion (GO:0090278)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	CRHBP	cl0_only
Negative Regulation Of Signal Transduction By P53 Class Mediator (GO:1901797)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	RFFL	cl0_only
Neural Crest Cell Differentiation (GO:0014033)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	PEF1	cl0_only
Neuromuscular Process (GO:0050905)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	CLN3	cl0_only
Neuromuscular Synaptic Transmission (GO:0007274)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	DTNA	cl0_only
Neutrophil Activation (GO:0042119)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	PRKCD	cl0_only
Peptide Antigen Assembly With MHC Protein Complex (GO:0002501)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	TAPBP	cl0_only
Positive Regulation Of DNA Replication (GO:0045740)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	EGFR	cl0_only
Positive Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045745)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	PRKCA	cl0_only
Positive Regulation Of NLRP3 Inflammasome Complex Assembly (GO:1900227)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	DDX3X	cl0_only
Positive Regulation Of Cation Transmembrane Transport (GO:1904064)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	STAC	cl0_only
Positive Regulation Of Cytokine Production Involved In Inflammatory Response (GO:1900017)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	HIF1A	cl0_only
Positive Regulation Of Establishment Of Protein Localization (GO:1904951)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	CORO2B	cl0_only
Positive Regulation Of Focal Adhesion Assembly (GO:0051894)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	VEGFA	cl0_only
Positive Regulation Of Monocyte Chemotaxis (GO:0090026)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	ANO6	cl0_only
Positive Regulation Of Neutrophil Chemotaxis (GO:0090023)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	CAMK1D	cl0_only
Protein Localization To Chromosome, Centromeric Region (GO:0071459)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	ZWILCH	cl0_only
Regulation Of DNA Damage Checkpoint (GO:2000001)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	CRY1	cl0_only
Regulation Of Adaptive Immune Response (GO:0002819)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	TNFSF4	cl0_only
Regulation Of Defense Response To Virus (GO:0050688)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	TRAF3	cl0_only
Regulation Of Establishment Or Maintenance Of Cell Polarity (GO:0032878)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	RAP1B	cl0_only
Regulation Of Exosomal Secretion (GO:1903541)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	SNF8	cl0_only
Regulation Of Histone Modification (GO:0031056)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	KAT2B	cl0_only
Regulation Of Lymphocyte Activation (GO:0051249)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	KLRC1	cl0_only
Regulation Of Ventricular Cardiac Muscle Cell Membrane Repolarization (GO:0060307)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	SCN1B	cl0_only
Response To Ethanol (GO:0045471)	1/18	0.742635285533393	0.880081752665446	0	0	0.751246604775611	0.223533594150641	CRHBP	cl0_only
Histone H3 Acetylation (GO:0043966)	2/36	0.747064539917636	0.88280846075104	0	0	0.751075050709939	0.219016262835395	KAT2B;TAF5	cl0_only
Lytic Vacuole Organization (GO:0080171)	2/36	0.747064539917636	0.88280846075104	0	0	0.751075050709939	0.219016262835395	CLN3;NAGPA	cl0_only
Negative Regulation Of T Cell Proliferation (GO:0042130)	2/36	0.747064539917636	0.88280846075104	0	0	0.751075050709939	0.219016262835395	CEBPB;DLG5	cl0_only
Negative Regulation Of Protein Kinase B Signaling (GO:0051898)	2/36	0.747064539917636	0.88280846075104	0	0	0.751075050709939	0.219016262835395	HYAL2;PTEN	cl0_only
Positive Regulation Of Myeloid Cell Differentiation (GO:0045639)	2/36	0.747064539917636	0.88280846075104	0	0	0.751075050709939	0.219016262835395	CSF3;HIF1A	cl0_only
Positive Regulation Of Signaling Receptor Activity (GO:2000273)	2/36	0.747064539917636	0.88280846075104	0	0	0.751075050709939	0.219016262835395	CCL2;HIF1A	cl0_only
Regulation Of Erythrocyte Differentiation (GO:0045646)	2/36	0.747064539917636	0.88280846075104	0	0	0.751075050709939	0.219016262835395	CDK6;HIF1A	cl0_only
Regulation Of Intracellular Protein Transport (GO:0033157)	2/36	0.747064539917636	0.88280846075104	0	0	0.751075050709939	0.219016262835395	PLK3;ATP13A2	cl0_only
tRNA Methylation (GO:0030488)	2/36	0.747064539917636	0.88280846075104	0	0	0.751075050709939	0.219016262835395	TRMT61A;TARBP1	cl0_only
Calcium-Mediated Signaling (GO:0019722)	5/85	0.748065114974441	0.883711099430249	0	0	0.797684865238424	0.231540198976702	SAMD14;PPP3CC;SPHK1;NCALD;PPP1R9B	cl0_only
Endosome Organization (GO:0007032)	3/53	0.75005778505712	0.883750387661788	0	0	0.765962732919255	0.220294733766681	PLEKHF1;PHETA1;PLEKHJ1	cl0_only
Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046425)	3/53	0.75005778505712	0.883750387661788	0	0	0.765962732919255	0.220294733766681	GHR;SOCS1;ERBB4	cl0_only
Negative Regulation Of Cytokine Production (GO:0001818)	11/178	0.75240470414289	0.883750387661788	0	0	0.8401974676601	0.23902015647214	SYT11;TNFSF4;NPTN;RARA;TLR9;SIRPA;SSC5D;NMBR;ADCY7;MAP2K5;N4BP1	cl0_only
Regulation Of Cell Cycle (GO:0051726)	19/298	0.754691411546668	0.883750387661788	0	0	0.868196404765299	0.244350700272989	PPP1R15A;JUN;ANAPC7;PRCC;DAB2IP;IQGAP1;PKD2;TENT5B;RUNX3;HCFC1;PPP1R9B;KAT2B;STK11;RPS15A;CDK6;RARA;CDK10;E4F1;NUPR1	cl0_only
Protein Transport (GO:0015031)	20/313	0.755706788222881	0.883750387661788	0	0	0.870164165729212	0.243734570261632	ARF3;ARF4;NPM1;RIC1;LMAN2L;TANGO2;STXBP1;VPS33A;ARRDC3;MIA2;SNX13;SEPTIN9;ZDHHC17;STX11;RAB11B;RUFY1;IFT22;CTTN;RAB34;EIF2D	cl0_only
Sensory Organ Development (GO:0007423)	4/70	0.757398836429791	0.883750387661788	0	0	0.773564373011887	0.214946696409722	FOXC1;MEIS1;ASCL2;MEIS2	cl0_only
Calcium Ion Homeostasis (GO:0055074)	6/102	0.758925854716856	0.883750387661788	0	0	0.797544951590595	0.220003727546472	CCL7;WFS1;TRPV4;NPTN;ATP13A2;TMEM165	cl0_only
Protein Catabolic Process (GO:0030163)	6/102	0.758925854716856	0.883750387661788	0	0	0.797544951590595	0.220003727546472	HSPA8;CASP7;CAPN2;DAB2IP;TCIRG1;SLC16A3	cl0_only
Regulation Of Protein Secretion (GO:0050708)	6/102	0.758925854716856	0.883750387661788	0	0	0.797544951590595	0.220003727546472	FRMD4A;ADAM8;STXBP5;ATP13A2;IGF1;SLC25A22	cl0_only
Aortic Valve Morphogenesis (GO:0003180)	2/37	0.760639990514838	0.883750387661788	0	0	0.729576354679803	0.199608521027779	NFATC1;SMAD6	cl0_only
Axonemal Dynein Complex Assembly (GO:0070286)	2/37	0.760639990514838	0.883750387661788	0	0	0.729576354679803	0.199608521027779	NISCH;TTC12	cl0_only
Calcium Ion Import Across Plasma Membrane (GO:0098703)	2/37	0.760639990514838	0.883750387661788	0	0	0.729576354679803	0.199608521027779	TRPV4;SCN3A	cl0_only
Positive Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046427)	2/37	0.760639990514838	0.883750387661788	0	0	0.729576354679803	0.199608521027779	GHR;ERBB4	cl0_only
COPII Vesicle Coating (GO:0048208)	1/19	0.761336691673138	0.883750387661788	0	0	0.709472394517191	0.193458638641367	PEF1	cl0_only
DNA Catabolic Process (GO:0006308)	1/19	0.761336691673138	0.883750387661788	0	0	0.709472394517191	0.193458638641367	ISG20	cl0_only
