set	gene
cl0_only	Smim3
cl0_only	Synpo
cl0_only	Pdgfrb
cl0_only	Nedd4l
cl0_only	Zfp532
cl0_only	Tubb6
cl0_only	Ldlrad4
cl0_only	Dynap
cl0_only	Stard6
cl0_only	Gm20544
cl0_only	Pias2
cl0_only	Pstpip2
cl0_only	Nfatc1
cl0_only	Zfp236
cl0_only	Dok6
cl0_only	Gm51271
cl0_only	Tcirg1
cl0_only	Aldh3b1
cl0_only	Mir6985
cl0_only	Syt12
cl0_only	Rbm4b
cl0_only	Cd248
cl0_only	Klc2
cl0_only	Efemp2
cl0_only	Pcnx3
cl0_only	Mascrna
cl0_only	Pola2
cl0_only	Capn1
cl0_only	Znhit2
cl0_only	Tm7sf2
cl0_only	Zfpl1
cl0_only	Cdc42bpg
cl0_only	Map4k2
cl0_only	Rcor2
cl0_only	Mir6991
cl0_only	Ahnak
cl0_only	Fads3
cl0_only	Fads1
cl0_only	A330040F15Rik
cl0_only	Cemip2
cl0_only	Trpm3
cl0_only	Klf9
cl0_only	Mir1192
cl0_only	Apba1
cl0_only	Fam189a2
cl0_only	Ric1
cl0_only	9930021J03Rik
cl0_only	Prkg1
cl0_only	Sgms1
cl0_only	Pten
cl0_only	Acta2
cl0_only	Ifit3
cl0_only	Kif11
cl0_only	Myof
cl0_only	Slc35g1
cl0_only	Sorbs1
cl0_only	Rrp12
cl0_only	Marveld1
cl0_only	Loxl4
cl0_only	Sfxn3
cl0_only	Kcnip2
cl0_only	Elovl3
cl0_only	2310034G01Rik
cl0_only	Taf5
cl0_only	Atp5md
cl0_only	Cfap43
cl0_only	Gsto1
cl0_only	Mxi1
cl0_only	Shoc2
cl0_only	Gpam
cl0_only	Gucy2g
cl0_only	Casp7
cl0_only	Ablim1
cl0_only	6720468P15Rik
cl0_only	Gfra1
cl0_only	Emx2os
cl0_only	E330013P04Rik
cl0_only	Suv39h2
cl0_only	Frmd4a
cl0_only	Camk1d
cl0_only	A230108P19Rik
cl0_only	Celf2
cl0_only	Taf3
cl0_only	Pfkfb3
cl0_only	Il15ra
cl0_only	C1ql3
cl0_only	Slc39a12
cl0_only	Plxdc2
cl0_only	Pip4k2a
cl0_only	Acbd5
cl0_only	Rnf224
cl0_only	Entpd2
cl0_only	Npdc1
cl0_only	Abca2
cl0_only	Phpt1
cl0_only	Ubac1
cl0_only	Nacc2
cl0_only	Tmem250-ps
cl0_only	Gpsm1
cl0_only	Dipk1b
cl0_only	Surf2
cl0_only	Adamtsl2
cl0_only	Vav2
cl0_only	Rxra
cl0_only	Slc27a4
cl0_only	Pkn3
cl0_only	Fnbp1
cl0_only	Ncs1
cl0_only	Ptges2
cl0_only	Sh2d3c
cl0_only	Stxbp1
cl0_only	Psmd5
cl0_only	Gsn
cl0_only	Ggta1
cl0_only	Dab2ip
cl0_only	Olfr350
cl0_only	Lhx2
cl0_only	Nr6a1
cl0_only	Zeb2
cl0_only	1700057H21Rik
cl0_only	Rif1
cl0_only	Fmnl2
cl0_only	Acvr1
cl0_only	Tanc1
cl0_only	Scn3a
cl0_only	Stk39
cl0_only	Wipf1
cl0_only	Hoxd11
cl0_only	Hoxd3
cl0_only	Osbpl6
cl0_only	Fkbp7
cl0_only	Ube2e3
cl0_only	Frzb
cl0_only	Nr1h3
cl0_only	Pacsin3
cl0_only	Lrp4
cl0_only	Creb3l1
cl0_only	Slc35c1
cl0_only	Alkbh3os1
cl0_only	Ttc17
cl0_only	Fjx1
cl0_only	Qser1
cl0_only	Lpcat4
cl0_only	Meis2
cl0_only	Gm13986
cl0_only	Gpr176
cl0_only	Bmf
cl0_only	Inafm2
cl0_only	Chst14
cl0_only	Rhov
cl0_only	Ltk
cl0_only	Rpap1
cl0_only	Ubr1
cl0_only	Map1a
cl0_only	Trim69
cl0_only	Dut
cl0_only	Eid1
cl0_only	Shc4
cl0_only	Dusp2
cl0_only	Nphp1
cl0_only	Bcl2l11
cl0_only	Sirpa
cl0_only	Hspa12b
cl0_only	Adra1d
cl0_only	Cds2
cl0_only	Ism1
cl0_only	Pcsk2
cl0_only	Rrbp1
cl0_only	Nkx2-2
cl0_only	Angpt4
cl0_only	Fam110a
cl0_only	Chmp4b
cl0_only	Aar2
cl0_only	4930405A21Rik
cl0_only	Dsn1
cl0_only	Src
cl0_only	Vstm2l
cl0_only	Snhg17
cl0_only	Lpin3
cl0_only	Mybl2
cl0_only	Dbndd2
cl0_only	Zfp335
cl0_only	Slc35c2
cl0_only	Trp53rka
cl0_only	Zmynd8
cl0_only	Cebpb
cl0_only	Adnp
cl0_only	Pmepa1
cl0_only	Gnas
cl0_only	Gm14305
cl0_only	Sycp2
cl0_only	Dido1
cl0_only	Slc17a9
cl0_only	Ppdpf
cl0_only	Tcea2
cl0_only	Tpd52
cl0_only	Ralyl
cl0_only	E2f5
cl0_only	Gyg
cl0_only	Ect2
cl0_only	Fndc3b
cl0_only	Pld1
cl0_only	4930429B21Rik
cl0_only	Gnb4
cl0_only	Hspa4l
cl0_only	Larp1b
cl0_only	Pcdh18
cl0_only	Elf2
cl0_only	Smad9
cl0_only	Rfxap
cl0_only	Gm51273
cl0_only	1700007F19Rik
cl0_only	Tsc22d2
cl0_only	Med12l
cl0_only	Tmem144
cl0_only	Gask1b
cl0_only	Asic5
cl0_only	Gucy1b1
cl0_only	Tmem154
cl0_only	Lrba
cl0_only	Prcc
cl0_only	Crabp2
cl0_only	Iqgap3
cl0_only	Mex3a
cl0_only	Mir1905
cl0_only	Ssr2
cl0_only	Syt11
cl0_only	Clk2
cl0_only	Mtx1
cl0_only	Thbs3
cl0_only	Mir92b
cl0_only	Trim46
cl0_only	Slc50a1
cl0_only	Pmvk
cl0_only	4632404H12Rik
cl0_only	Atp8b2
cl0_only	4933434E20Rik
cl0_only	S100a11
cl0_only	Cdc42se1
cl0_only	H4c14
cl0_only	Nudt17
cl0_only	Phgdh
cl0_only	Zfp697
cl0_only	Ngf
cl0_only	Rhoc
cl0_only	Mov10
cl0_only	St7l
cl0_only	Inka2
cl0_only	Gstm5
cl0_only	Ampd2
cl0_only	5330417C22Rik
cl0_only	Prpf38b
cl0_only	Slc30a7
cl0_only	Cnn3
cl0_only	Fnbp1l
cl0_only	Pde5a
cl0_only	Sec24d
cl0_only	Prss12
cl0_only	Ndst3
cl0_only	Mcub
cl0_only	Cyp2u1
cl0_only	Npnt
cl0_only	Tspan5
cl0_only	Sh3glb1
cl0_only	Ssx2ip
cl0_only	Ifi44l
cl0_only	AI115009
cl0_only	4930412C18Rik
cl0_only	Ints8
cl0_only	Esrp1
cl0_only	Mmp16
cl0_only	Ccnc
cl0_only	Klhl32
cl0_only	Mdn1
cl0_only	4933421O10Rik
cl0_only	Pm20d2
cl0_only	Zfp292
cl0_only	Nfx1
cl0_only	Ube2r2
cl0_only	Fam214b
cl0_only	Tpm2
cl0_only	Hrct1
cl0_only	Reck
cl0_only	Tdrd7
cl0_only	Msantd3
cl0_only	Tmeff1
cl0_only	Akap2
cl0_only	Rnf183
cl0_only	Tmem268
cl0_only	Tnfsf8
cl0_only	Tle1
cl0_only	Frmd3
cl0_only	Kdm4c
cl0_only	Tusc1
cl0_only	Jun
cl0_only	Cyp2j6
cl0_only	Cachd1
cl0_only	Dab1
cl0_only	Ssbp3
cl0_only	Zfyve9
cl0_only	Osbpl9
cl0_only	Cmpk1
cl0_only	Tmem69
cl0_only	Nasp
cl0_only	Hpdl
cl0_only	Btbd19
cl0_only	Plk3
cl0_only	Snord38a
cl0_only	Guca2a
cl0_only	Cap1
cl0_only	Mfsd2a
cl0_only	4933427I04Rik
cl0_only	Pou3f1
cl0_only	1110065P20Rik
cl0_only	Oscp1
cl0_only	Ago1
cl0_only	Zmym1
cl0_only	C77080
cl0_only	Tmem39b
cl0_only	Pef1
cl0_only	Tinagl1
cl0_only	Gmeb1
cl0_only	Snhg12
cl0_only	Smpdl3b
cl0_only	Map3k6
cl0_only	Tent5b
cl0_only	Trnp1
cl0_only	Zdhhc18
cl0_only	Cnksr1
cl0_only	Stmn1
cl0_only	Paqr7
cl0_only	Runx3
cl0_only	E2f2
cl0_only	Hnrnpr
cl0_only	Fam43b
cl0_only	Rcc2
cl0_only	Atp13a2
cl0_only	Fbxo42
cl0_only	C630004L07Rik
cl0_only	Tnfrsf1b
cl0_only	2510039O18Rik
cl0_only	Casz1
cl0_only	Pex14
cl0_only	Clstn1
cl0_only	Pik3cd
cl0_only	Spsb1
cl0_only	Rere
cl0_only	Tnfrsf9
cl0_only	Acot7
cl0_only	Rnf207
cl0_only	Tprgl
cl0_only	Pank4
cl0_only	Faap20
cl0_only	Gnb1
cl0_only	Vwa1
cl0_only	Rnf223
cl0_only	Cdk6
cl0_only	Gatad1
cl0_only	Abcb4
cl0_only	A630072M18Rik
cl0_only	Fgl2
cl0_only	Prkag2
cl0_only	Insig1
cl0_only	Garem2
cl0_only	Mir5625
cl0_only	Dpysl5
cl0_only	Mpv17
cl0_only	Nrbp1
cl0_only	Gckr
cl0_only	AI839979
cl0_only	Plb1
cl0_only	Gm1673
cl0_only	Wfs1
cl0_only	Nsg1
