gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Atp13a5,0.714038429181017,0.109079992099494,0.176,0.118,1
Ifnar1,0.71419652607475,0.691414254236976,0.057,0.027,1
Cpvl,0.714210377919434,-0.118040376519625,0.107,0.079,1
Snrpb2,0.714229373849958,-0.191472203935083,0.05,0.054,1
Sh2d2a,0.714358176377059,0.781641853013062,0.019,0.011,1
Gtf3c3,0.714362941754734,0.0548669811033662,0.126,0.081,1
Sox17,0.714499876627658,0.856338254640949,0.025,0.009,1
Pepd,0.714523665027313,0.0577622888383735,0.226,0.151,1
Mat1a,0.714543152349939,0.01456140799006,0.044,0.04,1
Serpinb9d,0.714570937986248,0.108791231644343,0.006,0.013,1
Esp6Esp5,0.714579955350586,0.576446257793093,0.038,0.021,1
Ccdc169,0.714658756543654,-0.0068624428265478,0.063,0.044,1
Col1a2,0.714739768751382,-0.198658373784189,0.107,0.083,1
Clec18a,0.714794627995913,0.508697877381613,0.05,0.033,1
Eef1a2,0.714813078438662,0.813074282347623,0.019,0.005,1
BC049730,0.714874924501999,0.826594125747908,0.019,0.006,1
Rraga,0.714900094984949,0.134177644856673,0.057,0.038,1
Pcdha5,0.714901085977116,-0.255506177882884,0.195,0.16,1
Spc24,0.714956565533881,0.44181377889432,0.019,0.013,1
Gm1604b,0.714971893666432,0.792595642798023,0.038,0.013,1
BC048562,0.714979454244205,1.39281476298012,0.013,0.01,1
Ncoa4,0.715012763964084,0.577816315834118,0.031,0.017,1
Zfp735,0.715096907014307,0.0936380602415765,0.019,0.016,1
Prpf40a,0.715148839157421,0.224470256170829,0.088,0.062,1
Timm50,0.715153800374287,0.227097514082219,0.013,0.013,1
Rbm18,0.715224342912057,0.320484721888376,0.025,0.034,1
Rbp1,0.715227027335853,0.520489893071934,0.05,0.03,1
Edn1,0.715280329696335,0.783997924466887,0.013,0.008,1
Adprh,0.71530124572763,0.326047761565569,0.025,0.024,1
BC016579,0.715331207263881,0.179693033292037,0.063,0.043,1
Nat6,0.715366086990214,0.343230438114251,0.013,0.011,1
