gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Cks2,1.31800085236551e-15,-2.35256420264938,0.009,0.046,4.09291984693586e-11
Lrpap1,1.34149165626666e-15,0.416932970769656,0.646,0.749,4.1658681893705e-11
Brca1,1.34699841651433e-15,-1.67159400187328,0.01,0.047,4.18296888264359e-11
Derl3,1.37212226820941e-15,-1.15038779381081,0.006,0.038,4.26098849169751e-11
Fbxo2,1.37723371288909e-15,0.984231931577067,0.447,0.451,4.27686157200578e-11
Usp42,1.38655476691567e-15,0.0498853690255707,0.105,0.198,4.30580717317992e-11
Anapc10,1.39790938731375e-15,0.174136703724791,0.157,0.279,4.34106781136413e-11
Tmem19,1.40151000587137e-15,0.0833426378620776,0.294,0.497,4.35224917223294e-11
Hykk,1.4042196402507e-15,1.8039384783521,0.106,0.052,4.36066367083452e-11
Abhd17c,1.40918136395386e-15,0.0654788346311577,0.098,0.187,4.37607180762232e-11
Sh2d6,1.41616485874885e-15,-0.0677782560825282,0.021,0.066,4.39775835235867e-11
Slc25a25,1.46160035265074e-15,1.41543960631567,0.177,0.114,4.5388537351216e-11
Cog3,1.48049968129829e-15,0.171379656146621,0.085,0.168,4.59754371030371e-11
Mtmr12,1.52170093785211e-15,-0.801374497233033,0.038,0.093,4.72549009240594e-11
Abhd13,1.52855516232474e-15,0.0791043669545135,0.101,0.193,4.74677520108325e-11
Bcl2l13,1.5862978029304e-15,0.132637500494984,0.079,0.158,4.92608919722006e-11
Srpx2,1.65550547703564e-15,-7.95747427405905,0,0.024,5.14100670838646e-11
Aoc3,1.65550547703564e-15,-7.46069607597776,0,0.024,5.14100670838646e-11
U2surp,1.68603329701755e-15,0.490672568051121,0.614,0.713,5.2358078005583e-11
Gucy2f,1.68900190911484e-15,-4.63805481152054,0.001,0.026,5.24502652856521e-11
Aifm1,1.70616272499769e-15,0.0862607908351238,0.198,0.338,5.29831772620782e-11
Gm31409,1.72548055992268e-15,-5.33698151793461,0,0.025,5.3583073307839e-11
Pdia4,1.74433664896598e-15,-0.100703348953396,0.402,0.633,5.41686302969895e-11
Ranbp10,1.76210093086743e-15,0.0910019095458883,0.13,0.234,5.47202823071572e-11
Zfp40,1.7749751263687e-15,0.132798524678303,0.127,0.232,5.51200775742535e-11
Fosl2,1.77937507647777e-15,-3.1558315724497,0.002,0.03,5.52567136249408e-11
Spata7,1.81188372153641e-15,1.1762633034234,0.273,0.217,5.62662370885916e-11
Dhcr24,1.84176545742622e-15,-0.0877189912800294,0.314,0.495,5.71941845149139e-11
Trmt10a,1.85006385521023e-15,0.132546513128584,0.079,0.158,5.74518829596984e-11
Arhgef17,1.85254175864898e-15,-1.61877062356295,0.088,0.155,5.75288317730855e-11
Slc2a4,1.9257300352024e-15,1.32414591974042,0.079,0.031,5.98016205131754e-11
Gm26671,1.97748531371787e-15,3.89721072919904,0.029,0.003,6.14088289321946e-11
Lrrc42,1.99410095285439e-15,-0.514412524895871,0.176,0.29,6.19248109899401e-11
Mcf2l,2.02935206288111e-15,-1.06710152762237,0.063,0.127,6.30194989607099e-11
Ints3,2.10131288474355e-15,0.282499536940799,0.161,0.287,6.52541703228263e-11
Gstcd,2.109900206773e-15,-0.291091994842481,0.027,0.077,6.55208410211288e-11
Srpk1,2.19012773141951e-15,-0.176074931577345,0.262,0.419,6.80122265715016e-11
Rad51b,2.19216490495506e-15,-2.19047229751176,0.005,0.036,6.80754889584745e-11
Ocln,2.20170125479241e-15,-2.77082941515094,0.013,0.05,6.83716307663234e-11
Midn,2.21313073886085e-15,0.729338624151152,0.28,0.208,6.8726561964585e-11
Emc6,2.21974837104562e-15,-0.0897662184866227,0.444,0.686,6.89320659144505e-11
Ccar2,2.2254831514952e-15,0.165038513105837,0.087,0.17,6.91101537865318e-11
Cystm1,2.22886621136223e-15,-0.230322676694823,0.525,0.693,6.92152113276427e-11
Saxo2,2.34707292077279e-15,0.0818920928180384,0.031,0.084,7.28860024816781e-11
Gm10308,2.40940882210685e-15,3.28860837839306,0.035,0.006,7.4821781561706e-11
Ptgis,2.4266024492869e-15,-5.12661052944979,0.001,0.027,7.53557124601553e-11
Vwa1,2.42726014277402e-15,0.0532931440173843,0.375,0.306,7.53761364737045e-11
Agpat2,2.43528866856658e-15,-1.53022684926996,0.021,0.064,7.56254543136667e-11
Furin,2.48966523450822e-15,-0.188947090053624,0.129,0.228,7.73140641924183e-11
Uevld,2.50699799620704e-15,-0.443803297348397,0.028,0.079,7.78523157742134e-11
Casp3,2.51582140889661e-15,-0.610571716458198,0.087,0.164,7.81263180318752e-11
Rpusd1,2.57199888245369e-15,-0.05968151278066,0.055,0.122,7.98708532957169e-11
Fbln5,2.57319784362437e-15,-1.61617386132388,0.027,0.074,7.99080858359112e-11
Fbxo4,2.57711937367704e-15,-0.194354560862831,0.076,0.152,8.00298650301669e-11
Cpt2,2.60659720948324e-15,0.228012705564861,0.092,0.179,8.09452697432926e-11
Shank1,2.65248622908783e-15,-1.21732075767529,0.013,0.052,8.23703073580933e-11
Gm15222,2.67395305853461e-15,-6.15485794489992,0,0.023,8.30369382797338e-11
