p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
6.512078510385952e-48	0.8121339927900737	0.714	0.386	2.0222608606152535e-43	OEC	Nudt4
7.279166334052976e-48	-1.5711251877452974	0.313	0.577	2.260472313376811e-43	OEC	Nrcam
9.47397138487342e-48	0.986769820252384	0.747	0.496	2.9420470738585918e-43	OEC	Pla2g16
9.866588101209148e-48	-1.3163306484920156	0.263	0.582	3.063970268949489e-43	OEC	Cdh10
1.4187269082645526e-47	1.61992433351864	0.566	0.352	4.405714540924742e-43	OEC	Cttnbp2
1.7777996245482305e-47	-1.2977147801439635	0.42	0.701	5.520778954072075e-43	OEC	Abhd3
2.4425154348466348e-47	-1.4203866883977936	0.203	0.528	7.58498743137274e-43	OEC	Olig2
2.5930798852530253e-47	-1.7825507942512926	0.34	0.575	8.052550275664744e-43	OEC	Gjb6
2.7576831048191205e-47	-0.9691475383612567	0.486	0.758	8.563709113705296e-43	OEC	Reep5
3.764447899192932e-47	0.6648751142560576	0.703	0.331	1.1690116506153732e-42	OEC	Anks1b
8.990176518897576e-47	-1.271712396779844	0.343	0.641	2.7918094161784534e-42	OEC	Olig1
1.9907312933959325e-46	-1.6998019356903837	0.259	0.531	6.182016958511729e-42	OEC	Grk3
2.1535389756634614e-46	0.5882239411610595	0.945	0.883	6.687599935025313e-42	OEC	Rplp1
2.838902701808396e-46	-1.499267123021134	0.349	0.61	8.815928450195793e-42	OEC	Gpm6a
5.005957304701545e-46	-1.7137885006776905	0.585	0.742	1.554549981402018e-41	OEC	Slc1a2
1.012716033313788e-45	0.8822089601492129	0.822	0.715	3.1448883698526373e-41	OEC	Mmd2
1.090616951142721e-45	-1.3783730369537228	0.237	0.552	3.3868018800786056e-41	OEC	Itgb8
2.272863118047471e-45	1.111944515057748	0.525	0.279	7.058149126784617e-41	OEC	Lbh
3.935961715021799e-45	-1.5775683383758836	0.338	0.588	1.2222735509828695e-40	OEC	Chchd10
5.951063386937389e-45	0.6935711227912558	0.917	0.822	1.8480432241795366e-40	OEC	Rps27
6.453938992145749e-45	1.0283803812101242	0.676	0.435	2.0042062146209408e-40	OEC	Sorbs1
6.60289893998853e-45	0.9506773764487021	0.802	0.663	2.050464236824038e-40	OEC	Mif
7.993835696359261e-45	-1.1356101217169001	0.324	0.604	2.4824057371474047e-40	OEC	Phlpp1
1.1015430463100369e-44	-1.5297588761103542	0.206	0.518	3.4207317760111884e-40	OEC	Chst2
6.402363348755456e-44	-0.9891848631473852	0.797	0.865	1.9881899143225193e-39	OEC	Msmo1
1.090966472235769e-43	-1.1476888757406871	0.531	0.748	3.387887282880957e-39	OEC	Kcnj10
2.2783808399448347e-43	-1.398947083858428	0.362	0.649	7.075283860364689e-39	OEC	Tprkb
2.5508607227764082e-43	-1.3481616928483056	0.311	0.574	7.921442888509858e-39	OEC	Clic4
3.0497174824428503e-43	-1.0432823650140577	0.588	0.814	9.470592669978028e-39	OEC	Ahcyl1
3.22192389034615e-43	-1.4826502557279184	0.377	0.614	1.0005362449080935e-38	OEC	Camk2g
