original_index,cl0_signal,cl1_signal,score,order_index,order_rank,source_loci,cl0_order_rows,cl1_order_rows,cl0_heatmap_rows,cl1_heatmap_rows,order_length,order_matches_cl0,order_matches_cl1
2133,32.3857827072509,44.8832574278544,1453.5794222521,8950,4411,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2134,91.6045303837365,93.6270854793794,8576.66519653651,4763,541,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2135,76.6248118175401,151.945055283441,11642.7612676994,1153,308,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2136,35.7715316895516,42.3106321134875,1513.51611745258,6525,4271,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2137,12.6926393911305,33.5334061691027,425.627432060732,63,7800,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2138,18.2932299469771,75.5837417647773,1382.670768356,692,4587,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2139,14.1131066382629,38.3154008807287,540.749338517518,5861,7332,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2140,34.8424318881131,29.2709319667102,1019.87045335169,839,5584,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2141,13.4036621833915,35.9172720173698,481.422980669806,4296,7573,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2142,26.5418989437277,46.8208560648832,1242.71443013295,1052,4946,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2143,33.3940139270964,26.3047144185929,878.419999642785,5295,6056,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2144,50.2124980483842,42.220751601959,2120.00940741468,2261,3210,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2145,38.217072812901,41.8132531310237,1597.98013945259,4384,4074,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2146,37.4270559837078,68.0367150525937,2546.413943221,4460,2695,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2147,23.2463550567627,97.3697986602783,2263.49291146233,180,3025,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2148,57.1925030049824,45.2634898866926,2588.73228136065,5906,2645,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2149,20.3230654864244,63.848404003197,1297.59529576066,6529,4793,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2150,11.6196917641215,57.4802836628703,667.903178676819,9174,6820,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2151,18.669698081073,26.3222820095762,491.429057923646,1159,7534,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2152,33.5719402704757,30.1326250649108,1011.61068887182,4777,5610,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2153,11.3264078704066,44.6043413150236,505.206962524786,9142,7480,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2154,45.4520950284611,14.6088708635048,664.003786746538,8484,6833,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2155,19.552112421966,24.2899417548344,474.919671913527,1005,7610,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2156,16.3867807578795,40.2673427100034,659.852116691222,5252,6853,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2157,33.0097661894468,23.7959867613847,785.499959240481,2981,6359,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2158,29.5342129896742,63.1703437246928,1865.68638619601,5461,3593,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2159,53.4166915130615,17.4120149707794,930.092232314933,6056,5876,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2160,12.0650692792006,26.9261770920015,324.866192039022,3286,8268,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2161,41.4361410635693,41.9770044469696,1739.36507769071,8091,3807,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2162,17.8728835138224,55.4715353647868,991.436289907714,3007,5664,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2163,84.4437871870174,165.465093171725,13972.4991146731,3334,234,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2164,23.5977342891693,55.0645170529683,1299.39784217738,575,4788,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2165,56.9944176434273,45.0535664498507,2567.80178256869,123,2668,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2166,36.1745677690827,40.2579349346375,1456.31339553637,6189,4407,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2167,12.0004417920113,5.74037101745606,68.8869882595299,5082,9159,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2168,22.1156971865687,46.1722619286899,1021.13176323384,5234,5580,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2169,56.172830289444,40.5722083032659,2279.05577148733,3384,3012,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2170,18.2888443196715,26.2409957048921,479.917485239941,708,7581,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2171,20.1394377231598,16.6737974882126,335.800906122436,3336,8221,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2172,19.73508571965,43.5680344828611,859.818895155932,5296,6115,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2173,13.8192346008546,14.9467421890399,206.552536828833,8371,8731,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2174,2.08797792593638,39.6897350588153,82.8712906890695,4642,9115,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2175,23.1908866405487,9.16421835422516,212.526349002072,7604,8701,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2176,51.4693806415759,97.6584154774684,5026.41815906299,540,1194,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2177,37.3679513278885,71.6888624542388,2678.86592294169,5236,2547,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2178,65.8831912805052,163.967624481987,10802.7103675568,2390,366,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2179,21.6545804333441,45.5324385092431,985.985852024698,4648,5686,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2180,18.0120568409048,26.7948166029207,482.629759693427,1629,7569,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2181,34.2425944900513,42.7918273544312,1465.30319158607,4714,4385,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2182,18.1347954014698,17.1139132172228,310.357314712845,7642,8332,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2183,100.69448364383,272.715220746769,27460.9183349092,6520,56,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2184,32.6345280220212,20.9134889146696,682.501840024013,7013,6759,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2185,20.2770062113461,72.4629403140447,1469.33149084029,7196,4369,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2186,112.87600655692,126.335266418457,14260.2203606199,7954,223,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2187,23.878096182702,46.7634207794021,1116.62145920273,1802,5319,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2188,55.9642390664826,58.9538860777504,3299.30937435341,444,2059,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2189,23.13763628733,30.5930765861888,707.851478961666,4638,6678,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2190,36.9847634833283,59.5018677594472,2200.66250589943,5878,3114,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2191,5.31290449922448,18.4767944812775,98.1654445308251,336,9071,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2192,16.6852582737252,85.0424739343149,1418.95564183058,2663,4486,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2193,36.9186439136289,69.9324196581571,2581.81009937796,4116,2652,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2194,66.5352066209383,51.3286675225909,3415.16349919303,703,1978,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2195,33.4769812178612,27.085358786583,906.736047377468,6079,5950,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2196,41.4481865937959,101.613332889571,4211.68838202443,4302,1531,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2197,65.6848068778397,66.3906389150777,4360.85629563327,5373,1450,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2198,51.1027989685536,100.273501705378,5124.25659952286,552,1158,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2199,23.5126614522934,56.4490895628929,1327.26833218249,7391,4727,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2200,38.4246828777218,20.1691177376795,774.991952993768,3687,6408,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2201,48.8819908051801,17.9247585104767,876.197880694198,1556,6065,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2202,27.417583924167,52.1461637895935,1429.72182202454,3572,4461,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2203,24.1098557276604,66.0032707409981,1591.32933511917,7348,4088,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2204,30.5032009840012,22.1595978045464,675.938665556708,283,6787,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2205,23.1120338565425,79.0482455303795,1826.96572699841,7456,3657,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2206,17.4030392937277,23.5835325690522,410.425143984121,5407,7871,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2207,26.4420275115967,19.0666752576828,504.161551718328,7841,7487,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2208,8.31662630878511,64.7671915429537,538.644529132254,6116,7344,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2209,19.6068273639679,28.2563595294952,554.017563229022,6368,7282,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2210,30.300049186356,52.024165333624,1576.33476848792,8575,4115,9273,9273,9273,9273,9273,9273,TRUE,TRUE
2211,87.9814507354545,75.7663641334862,6666.03463341482,2585,789,9273,9273,9273,9273,9273,9273,TRUE,TRUE
