gene_id	gene_name	GSM9304310_mESC_E14_ctrl_A_d4	GSM9304311_mESC_E14_ctrl_B_d4	GSM9396007_MEF_3T3_mock_A_4hpi	GSM9396008_MEF_3T3_mock_B_4hpi	GSM9396009_MEF_3T3_mock_C_4hpi
ENSMUSG00000034320.14	Slc26a2	7.922273	10.763299	8.971355	9.42825	9.41812
ENSMUSG00000034321.14	Exosc1	63.174361	68.725682	43.7644	48.546665	44.425577
ENSMUSG00000034324.16	Tmem132c	0.348049	1.483236	0	0	0
ENSMUSG00000034327.17	Kctd9	18.896166	22.070788	25.623889	22.687525	24.425892
ENSMUSG00000034329.16	Brip1	7.674895	6.831214	1.594895	1.865475	1.984054
ENSMUSG00000034330.10	Plcg2	17.806654	16.926171	0	0	0
ENSMUSG00000034333.15	Zbed4	18.936164	18.489404	8.925581	9.33721	10.048407
ENSMUSG00000034334.8	Fam151b	0.496244	0.077956	0.336323	0.241916	0.096001
ENSMUSG00000034336.3	Ina	8.943552	11.447274	0	0	0
ENSMUSG00000034339.8	Cstdc7	0	0	0	0	0
ENSMUSG00000034341.17	Wbp2	85.34335	90.430443	156.201105	152.698159	152.038137
ENSMUSG00000034342.9	Cbl	11.020134	12.419086	15.112712	17.047591	15.392901
ENSMUSG00000034343.14	Ube2f	38.779325	37.086876	71.617305	63.856644	66.510046
ENSMUSG00000034345.14	Gtf2h5	66.760856	60.15564	88.054628	75.774401	77.601386
ENSMUSG00000034349.14	Smc4	118.763456	137.295809	53.08422	57.442914	62.387937
ENSMUSG00000034353.14	Ramp1	0	0	0	0	0
ENSMUSG00000034354.17	Mtmr3	16.401401	18.423387	24.912006	23.119666	24.258957
ENSMUSG00000034359.16	Skint2	0	0	0	0.06117	0.088349
ENSMUSG00000034361.10	Cpne2	2.82791	3.569629	38.892137	36.354453	38.992286
ENSMUSG00000034362.7	Csta1	0	0	0	0	0
ENSMUSG00000034371.9	Tkfc	9.833432	10.270222	21.903025	18.233481	18.34332
ENSMUSG00000034377.10	Tulp4	14.672481	16.507628	174.120355	189.190844	232.748887
ENSMUSG00000034379.9	Wdr5b	0.870549	0.977131	1.342251	1.211344	1.185994
ENSMUSG00000034382.14	AI661453	0.590745	0.772656	0	0	0
ENSMUSG00000034384.11	Barhl2	0.038044	0	0	0	0
ENSMUSG00000034387.13	Ssu2	1.853908	0.617739	0	0	0
ENSMUSG00000034390.16	Cmip	20.251613	24.828819	22.37038	23.157024	21.227542
ENSMUSG00000034391.12	Fbxo15	134.613895	149.234719	0	0.097502	0.033744
ENSMUSG00000034394.14	Lif	1.626348	3.39144	77.403227	55.198315	72.632452
ENSMUSG00000034401.16	Spata6	11.165462	13.599551	32.147424	37.459283	45.335727
